kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,1306,100,15.325833,13.025889,0.18,131,4,1,0,False,18.88
train,1307,100,14.369167,14.695837,0.1785,131,3,1,0,False,16.06
train,1308,100,15.383333,16.216753,0.1771,131,4,1,0,False,16.05
train,1309,100,14.3225,9.659667,0.1756,131,3,1,0,False,16.02
train,1310,100,15.389167,13.396404,0.1742,131,4,1,0,False,16.0
train,1311,100,14.416667,13.158181,0.1727,131,3,1,0,False,16.0
