kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,81,53,1.784167,-8.019667,0.416,83,1,0,0,True,10.18
train,82,100,14.555833,9.884667,0.4114,83,3,1,0,False,18.35
train,83,100,1.0825,2.274389,0.4069,83,0,0,0,False,20.18
train,84,100,14.683333,17.180896,0.4025,83,3,1,0,False,19.63
train,85,100,15.5525,12.494667,0.3981,83,4,1,0,False,19.59
train,86,100,14.618333,9.562167,0.3938,83,3,1,0,False,21.53
train,87,100,1.7525,3.513773,0.3895,83,0,0,0,False,18.45
train,88,64,2.0075,-6.802638,0.3852,83,1,0,0,True,12.23
train,89,100,1.3125,2.545639,0.381,83,0,0,0,False,19.78
train,90,37,0.769167,-9.905333,0.3769,83,0,0,0,True,10.77
train,91,45,3.91,-5.901333,0.3728,83,3,0,0,True,12.77
train,92,100,15.255833,6.016625,0.3687,84,3,1,0,False,26.36
train,93,100,15.340833,10.336402,0.3647,84,3,1,0,False,26.52
train,94,62,4.4925,-4.321805,0.3607,84,3,0,0,True,19.31
train,95,100,15.375,10.538746,0.3568,84,3,1,0,False,27.67
train,96,49,1.789167,-10.882,0.3529,84,1,0,0,True,10.43
train,97,100,1.504167,2.641934,0.349,84,0,0,0,False,25.17
train,98,100,15.145,12.468998,0.3452,84,3,1,0,False,23.87
train,99,100,19.809167,8.55868,0.3415,84,8,1,0,False,23.18
train,100,100,15.595833,9.624997,0.3377,84,4,1,0,False,18.48
eval,100,100,17.204167,11.166667,0.334,84,5,1,0,False,25.82
eval,100,100,14.564167,6.528333,0.334,84,3,1,0,False,17.99
eval,100,100,2.411667,2.3675,0.334,84,0,0,0,False,24.99
train,101,100,5.0325,-3.640333,0.334,86,3,0,0,False,23.99
train,102,100,6.41,-2.257833,0.3304,86,5,0,0,False,18.0
train,103,100,2.619167,0.815333,0.3268,86,1,0,0,False,17.91
train,104,100,15.554167,12.269529,0.3232,86,4,1,0,False,17.9
train,105,64,2.915,-8.887167,0.3197,86,2,0,0,True,11.8
train,106,100,14.600833,14.30023,0.3162,86,3,1,0,False,17.87
train,107,90,3.375833,-7.292,0.3128,86,2,0,0,True,16.24
train,108,100,3.635833,-1.032,0.3094,86,2,0,0,False,18.15
train,109,100,15.438333,11.111188,0.306,86,4,1,0,False,18.24
train,110,58,1.099167,-9.568667,0.3027,86,0,0,0,True,13.5
train,111,100,3.623333,1.817833,0.2994,86,2,0,0,False,17.97
train,112,100,4.495,-6.176167,0.2961,86,3,0,0,False,18.24
train,113,100,15.553333,7.569581,0.2929,86,4,1,0,False,18.25
train,114,83,3.264167,-7.402,0.2897,86,2,0,0,True,15.08
train,115,100,3.634167,2.825695,0.2865,86,2,0,0,False,19.15
train,116,100,1.075833,2.172514,0.2834,86,0,0,0,False,17.8
train,117,82,4.235833,-6.432,0.2803,86,3,0,0,True,15.22
train,118,100,1.195,4.138303,0.2772,87,0,0,0,False,18.09
train,119,100,16.564167,9.03196,0.2742,87,5,1,0,False,19.02
train,120,100,15.1275,10.100486,0.2712,87,3,1,0,False,26.27
train,121,63,4.365,-5.447167,0.2683,87,3,0,0,True,17.46
train,122,100,15.233333,16.421528,0.2653,87,3,1,0,False,25.78
train,123,100,16.288333,10.683239,0.2625,87,4,1,0,False,25.82
train,124,100,16.2325,6.559532,0.2596,87,4,1,0,False,26.05
train,125,79,4.739167,-4.075972,0.2568,87,3,0,0,True,21.26
eval,125,100,5.660833,-2.383333,0.254,87,4,0,0,False,20.48
eval,125,35,2.730833,-11.305,0.254,87,2,0,0,True,9.41
eval,125,100,14.47,8.424167,0.254,87,3,1,0,False,26.63
train,126,100,15.738333,11.759688,0.254,87,4,1,0,False,20.61
train,127,100,14.461667,17.269862,0.2512,87,3,1,0,False,19.72
train,128,100,16.575,13.764862,0.2484,87,5,1,0,False,19.85
train,129,100,15.989167,10.778694,0.2457,87,4,1,0,False,28.31
train,130,100,15.75,12.751042,0.2431,87,4,1,0,False,21.92
train,131,100,14.675833,8.395192,0.2404,87,3,1,0,False,19.31
train,132,100,1.789167,1.749591,0.2378,87,0,0,0,False,18.63
train,133,60,2.96,-7.7095,0.2352,87,2,0,0,True,12.1
train,134,63,2.0325,-6.777638,0.2326,87,1,0,0,True,12.42
train,135,70,1.080833,-9.590333,0.2301,87,0,0,0,True,12.43
train,136,100,3.453333,2.788833,0.2276,87,2,0,0,False,16.14
train,137,89,4.171667,-6.4945,0.2251,88,3,0,0,True,14.47
train,138,100,1.6025,2.496802,0.2226,88,0,0,0,False,16.2
train,139,100,1.543333,3.742833,0.2202,88,0,0,0,False,16.18
train,140,100,3.425,-5.242833,0.2178,88,2,0,0,False,16.34
train,141,100,1.566667,2.9005,0.2154,88,0,0,0,False,16.26
train,142,57,2.741667,-7.9245,0.2131,88,2,0,0,True,9.7
train,143,100,1.55,2.883833,0.2108,88,0,0,0,False,16.28
train,144,93,2.444167,-6.359305,0.2085,88,1,0,0,True,17.11
train,145,79,4.048333,-10.6195,0.2062,89,3,0,0,True,13.72
train,146,100,14.008333,6.957167,0.204,89,3,1,0,False,16.29
train,147,85,3.226667,-6.5755,0.2017,89,2,0,0,True,15.01
train,148,63,3.0025,-9.668667,0.1995,89,2,0,0,True,12.39
train,149,74,3.1875,-6.618,0.1974,90,2,0,0,True,14.26
train,150,100,14.366667,5.171475,0.1952,90,3,1,0,False,16.39
eval,150,100,1.6925,1.656667,0.1931,90,0,0,0,False,17.1
eval,150,72,3.090833,-10.945,0.1931,91,2,0,0,True,12.97
eval,150,100,1.781667,1.7425,0.1931,91,0,0,0,False,18.2
train,151,100,14.400833,10.92837,0.1931,91,3,1,0,False,16.38
train,152,95,2.3475,-7.454667,0.191,91,1,0,0,True,15.66
train,153,100,14.461667,12.657833,0.1889,91,3,1,0,False,16.83
train,154,100,1.490833,-1.314305,0.1868,91,0,0,0,False,16.25
train,155,100,3.3875,1.585333,0.1848,91,2,0,0,False,16.32
