kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,1301,100,18.935,8.8975,0.1,131,4,1,0,False,53.55
train,1302,67,17.034167,4.9875,0.1,131,4,1,0,True,34.35
train,1303,27,2.319167,-9.726667,0.1,131,1,0,0,True,16.25
train,1304,35,2.710833,-9.335,0.1,131,1,0,0,True,19.84
train,1305,19,0.825,-11.221667,0.1,131,0,0,0,True,11.31
eval,1305,94,18.663333,4.6175,0.1,131,4,1,0,True,51.0
